最新免笔试筛选方法,附件,超链接,截止日期,公告链接,招聘类型,备注,公司行业,是否免笔试,投递链接,标记,公司,工作地点,内推码,岗位,更新时间,父记录
,,,招满即停,http://mp.weixin.qq.com/s/EUcYsOIjCrvJmndRhuGFgw,26届秋招,广东盈浩有五险一金，导师带教，带薪年假，年度体检，双线晋升,其他,含免笔试,http://mp.weixin.qq.com/s/EUcYsOIjCrvJmndRhuGFgw,,广东盈浩,广州,,外贸业务员 亚马逊运营 产品设计师,2025-11-21,
,,,11.25,https://mp.weixin.qq.com/s/2RB97RLFb0bI8SMqVopzrQ,26届秋招,广西国控集团有竞争力薪酬，员工福利，广阔发展空间,国央企,含免笔试,http://campus.51job.com/gxgk/campus.html,,广西国控集团,兴宁 | 南宁 | 横州 | 柳州 | 桂林 | 梧州 | 北海 | 防城港 | 钦州 | 贵港 | 玉林 | 北流 | 百色 | 来宾 | 崇左,,"业务员,运行维护岗,法务合规岗（兼内审）,农务员,煮糖员,农务技术员,压榨车间技术主管,制炼车间技术主管,制浆化验员,育种师,动物营养配方师,研发工程师,猪场技术员,基地技术员,育种管理岗,会计岗,施工员,研发员,人力资源岗,养殖技术员,茶叶加工技术岗,财务岗,业务岗,科研岗（精细化工组科研员）,科研岗（兽药组科研员）,科研员（农化方向）,科研员（兽药或动物营养学方向）,科研员（涂料方向）,科技中心科研岗,销售业务岗,生产工段员,综合文秘岗,人力资源综合岗,法务管理岗,资产管理岗,食品管理岗,财务会计岗,项目管理岗,会计核算岗,财务管理岗,管理岗,技术管理岗,农业经营管理岗,动物养殖技术岗,养殖管理岗,工勤岗,土地管理岗,经营管理岗,生产经营办管理员,业务岗助理,资产业务岗,人工智能研发工程师,车间生产人员",2025-11-18,
,,,招满即停,https://mp.weixin.qq.com/s/GmY3XuG0i1Kj0OC5gIe-PQ,26届秋招,菲利斯招聘26届本硕博毕业生，多类岗位,科技,含免笔试,https://felicitysolar.zhiye.com/campus/jobs,,菲利斯,上海 | 广州,,"人事专员,产品管培生,嵌入式软件工程师,BMS软件工程师,BMS硬件工程师,研发测试工程师,产品工程师,逆变器硬件工程师,DSP软件工程师,销售工程师（校招）,技术支持工程师,Layout工程师,海外维修工程师,品质工程师",2025-11-17,
,,,招满即停,https://mp.weixin.qq.com/s/qlV4ktEn2VEKg8gxXtfS8A,26届秋招,,其他,含免笔试,https://mp.weixin.qq.com/s/qlV4ktEn2VEKg8gxXtfS8A,,辰妙文化,连云港 | 南京,,短视频编导、视频拍摄剪辑师、设计师、品牌策划,2025-11-11,
,,,招满即停,https://mp.weixin.qq.com/s/gDmZDUPyRuE19UDGdaKTfg,26届秋招,梦尔达科技有五险一金，补充保险，福利年假,快消零售,含免笔试,https://mengerda.zhiye.com/campus/jobs,,梦尔达科技,杭州 | 郑州 | 广州,,营销管培生(抖音/红书方向) 电商管培生(天猫/京东/拼多多) 职能管培生(人力BP),2025-10-31,
,,,招满即停,https://mp.weixin.qq.com/s/Xa5a0Jom2GggeTowdO7Pbw,26届秋招,华友钴业有五险一金，团建活动，带薪年假，节假日福利，健康体检，多种补贴,能源,含免笔试,https://campus.huayou.com/,,华友钴业,桐乡,,财务管培生（会计学及相关专业）,2025-12-16,
,,,招满即停,http://mp.weixin.qq.com/s/CC_SOXP5OsJh52hhT9LZGw,秋招补录,游卡招聘5类岗位,游戏,含免笔试,http://campus.yokaverse.com/,,游卡,上海 | 杭州,,系统策划 数值策划 关卡策划 战斗策划 文案策划 规则策划 产品经理 用户研究 游戏客户端开发 游戏服务端开发 游戏功能测试 平台服务端开发 运维开发 算法 游戏产品运营 新媒体运营 市场营销策划 广告投放 角色概念设计 UE GUI 平面设计 后期制作 HRBP/招聘,2025-12-03,
,,,招满即停,https://mp.weixin.qq.com/s/Hm9Luwfg5-5ttVog-k_IUQ,26届秋招,,汽车新能源,含免笔试,https://chery1.zhiye.com/jobs?queryId=c3268d51-c380-4c52-96db-5f8b2f124f27,,奇瑞汽车,芜湖,,国内外营销 产品开发类 改装设计类 品牌宣传类 智能制造类 新媒体类 供应链类 综合职能类,2025-11-27,
,,,招满即停,https://mp.weixin.qq.com/s/2c22hkWrJl90PywqEPuWDA,26届秋招,,农业,含免笔试,https://wecruit.hotjob.cn/SU68020e2c1eb80570a8ba44e6/mc/position/campus,,双胞胎集团（硕博专项）,全国各地,,养猪职类、食品职类、营销职类、饲料研发职类、生产制造职类、双胞胎动保、供应链职类、职能职类,2025-11-15,
,,,招满即停,https://mp.weixin.qq.com/s/BIDaecoUhBFzyDDheQsrvg,26届秋招,上影集团招聘多类岗位,国央企,含免笔试,https://www.zhaopin.com/companydetail/CZ237387220.htm,,上影集团,上海,,影视产业 / 技术类（后期制作，制片管理，项目执行，影视策划，场景美术，分镜师，AIGC 项目助理）；市场营销 / 管理类（管培生，投资管理，财务专员，人事助理，商务拓展，市场助理，行政文员）；产品设计 / 开发类（产品设计，展陈设计，策划运营）；运营支持（项目助理，接待，讲解员）,2025-11-04,
,,,26.1.16,https://fw.rc.qingdao.gov.cn/jeecms/htmlrc/gqzp/zpjh/20260106/15457.html?sessionid=-1754562688,秋招,青岛市农业融资担保有限责任公司报名截止2026年1月16日，招聘3人,金融,含免笔试,https://fw.rc.qingdao.gov.cn/jeecms/htmlrc/gqzp/zpjh/20260106/15457.html?sessionid=-1754562688,,青岛市农业融资担保有限责任公司,青岛,,平度办事处业务岗（经济学、金融学、财务管理、会计学、农学、园艺、种子科学与工程、设施农业科学与工程、法学、水产养殖学、海洋渔业科学与技术、农林经济管理、食品科学与工程、动物科学等专业） 综合财务部综合岗（财务管理、会计学、新闻学、审计学、中国语言文学、行政管理、档案学、人力资源管理等专业） 城区办事处业务岗（经济学、金融学、财务管理、会计学、农学、园艺、种子科学与工程、设施农业科学与工程、法学、水产养殖学、海洋渔业科学与技术、农林经济管理、食品科学与工程、动物科学等专业）,2026-01-07,
,,,招满即停,http://mp.weixin.qq.com/s/lu--A5NrRVpnnOBqGmHt_A,26届秋招,凡岛【营销部门秋招专场】人才培养体系，扁平化管理,快消零售,含免笔试,https://job.fandow.com/schoolRecruitment,,凡岛【营销部门秋招专场】,广州,,营销管培生 营销经理 管培生（直播间管理方向）(电视编导、新闻等),2025-11-26,
,,,招满即停,https://mp.weixin.qq.com/s/ypEvKuPMM-yV49Ovgx7uhg,26届秋招,省广集团有五险二金，年度体检，团建活动，多元晋升通道，包容工作氛围,其他,含免笔试,https://wecruit.hotjob.cn/SU5f56e5bf9b0d78f6000a8773/pb/school.html,,省广集团,广州 | 武汉 | 北京,,市场营销类、策划运营类、数字媒介类、创意设计类、创意文案类、大数据类,2025-11-11,
,,,招满即停,https://mp.weixin.qq.com/s/lDxwrg2tA3hjfBBtyjnYCg,26届秋招,剧星传媒有五险一金，带薪年假，晋升调薪，节假日福利,其他,含免笔试,https://visionstar.zhiye.com/campus/jobs,,剧星传媒,上海 | 北京 | 广州 | 深圳 | 杭州 | 天津 | 厦门 | 合肥 | 郑州,,策划、执行、运营、销售、编导、数据分析 •,2025-11-09,
,,,招满即停,https://mp.weixin.qq.com/s/6ApJUaCnSM_MQ8jKpFnLwQ,26届秋招,中国平煤神马控股集团有五险一金，法定休假，企业年金，安家费，政策补贴等,国央企,含免笔试,http://hrc.zgpmsm.com.cn:9000/,,中国平煤神马控股集团,郑州 | 开封 | 平顶山 | 许昌 | 南阳,,本科：电气类 机械类 化工与制药类 矿业类 材料类 土木类 临床医学类 地质类 计算机类 自动化类 测绘类 工商管理类 化学类 纺织类 仪器类 管理科学与工程类 能源动力类（相关专业：电子信息类 法学类 物理学类 安全科学与工程类 环境科学与工程类 马克思主义理论类 外国语言文学类 地质学类 工业工程类 物流管理与工程类 水利类 经济与贸易类 人- 数学类 心理学类 新闻传播学类 政治学类）；专科：自动化类 煤炭类 化工技术类 机械设计制造类 机电设备类 电力技术类 测绘地理信息类 铁道运输类 热能与发电工程类（相关专业：计算机类 非金属材料类 轨道装备类 医学技术类 安全类 电子信息类 航空装备类 物流类）,2025-11-06,
,,,招满即停,https://mp.weixin.qq.com/s/L5VJTzmDr57sB491YRtmZQ,秋招补录,韶音科技免笔试,科技,含免笔试,https://app.mokahr.com/campus-recruitment/aftershokzhr/36940#/jobs?page=1&anchorName=jobsList&keyword=&commitment0=&zhineng0=71583&zhineng1=134969&zhineng2=71584&zhineng3=71586&zhineng4=71585,,韶音科技,深圳,,人力资源管培生 投资管培生 法务管培生 IT产品经理管培生 软件开发工程师 IT战略管培生(网络系统信安方向) 质量管理培训生 质量运营工程师 产品合规工程师 供应链管理培训生 主计划工程师 量产PMC工程师 海外仓工程师 需求计划工程师 软件工程师(装备开发) 制程测试工程师 声学测试工程师 硬件测试工程师 工业工程师 整机工艺工程师 治具开发工程师 项目管理培训生(新产品导入),2025-12-08,
,,,26.1.20,https://mp.weixin.qq.com/s/ZQiAzV3tMXRh61OtbhoA0Q,春招,,快消零售,含免笔试,https://career.anker-in.com/social/recruitment/new,,安克创新,北京 | 上海 | 苏州 | 杭州 | 长沙 | 深圳,,研发 产品 设计 算法 运营 MKT 供应链 人资行政,2026-01-07,
,,,招满即停,https://mp.weixin.qq.com/s/e_OrA9ZFtyZpIbC3ORRwrw,秋招,青岛新润丰石油贸易有限公司有五险一金，双休节假日，购房补贴，带薪年假,能源,含免笔试,https://sddmsh.zhiye.com/campus/jobs?memory=LocId3702&silence=1,,青岛新润丰石油贸易有限公司,青岛,,贸易执行岗（市场营销、国贸、经济、外语、数学、信息、自动化、化工、石油炼制、化工机械、材料） 贸易开发岗（市场营销、国贸、经济、外语、数学、信息、自动化、化工、石油炼制、化工机械、材料） 财务资金岗（会计学、审计学、金融学、财务管理） 法务合规岗（法学、国际贸易法、海商法）,2026-01-03,
,,,招满即停,https://mp.weixin.qq.com/s/5VCp_oDbULEGYpNSFCqXfA,26届秋招,,其他,含免笔试,https://tg45thgzzc.jiandaoyun.com/f/6191d19a5eb58d0008279a24,,金沙河集团,邢台,,市场运营（市场营销 国贸 工商管理） 物流运营（物流管理） 软件实施（计算机 软件工程 软件开发 信息管理） 电商投流专员（数据分析 计算机） 会计（会计学 财务管理） 财务专员（财务 会计） 研发助理（食品 化学 生物 农学 环境工程） 产品运营（食品类 营养类 农业类） 人事专员（不限专业） 记者（新闻学 汉语言文学 影视文学 编导） 市场业务员（不限专业）,2025-12-24,
,,,招满即停,https://mp.weixin.qq.com/s/vLt6aDy4Sobp3D1Wetyakw,26届秋招,,快消零售,含免笔试,https://mp.weixin.qq.com/s/vLt6aDy4Sobp3D1Wetyakw,,三只象集团,厦门,,剪辑管培生（影视、编导、数媒等相关专业）编导管培生（影视、编导、新闻等相关专业）拍摄管培生（摄影、影视、美术等相关专业）运营管培生（专业不限）直播运营管培生（传媒、营销、电商等相关专业）拼多多运营管培生（电商、营销、经管等相关专业）客服管培生（专业不限）财务管培生（财务、会计、经管等相关专业）人力行政管培生（人力、行政、管理等相关专业）,2025-12-24,
,,,26.7.1,https://mp.weixin.qq.com/s/9c99LKY5A_hva0ft9qh1Mg,26届秋招,洽洽食品有五险一金，丰厚薪酬，节假日福利，多种补贴，成长发展,快消零售,含免笔试,https://qiaqiafood.zhiye.com/campus/jobs,,洽洽食品,合肥 | 全国各地,,营销销售类（市场营销、食品类、工商管理类专业）；供应链类（工程类、自动化类、食品类专业）；质量类（食品类、微生物类专业）；职能类（财务类、商科类、食品类、供应商管理类专业）；种植类（农学、林学、园艺、植物保护类专业）,2025-12-01,
,,,招满即停,http://mp.weixin.qq.com/s?__biz=MzI5MDEwMjc1Ng==&mid=2651459427&idx=1&sn=c791a848e97e7218b7efbeef902c95a9&chksm=f7dba3e8c0ac2afe8b922bbb959fb8148776a7505252d9fcd2bdc491e888ee5f8574ee9f89ab#rd,26届秋招,导远科技招聘多类岗位，免笔试，导师带教,汽车新能源,含免笔试,https://asensing.jobs.feishu.cn/campus/?keywords=&category=&location=&project=&type=&job_hot_flag=&current=1&limit=10&functionCategory=&tag=&spread=W79TGXM&storefront_id_list=,,导远科技,北京 | 上海 | 苏州 | 广州,,产品工程师 算法工程师 软件工程师 软件测试工程师 系统工程师 硬件工程师 解决方案工程师 销售工程师 设备工程师 供应链工程师 质量工程师 项目工程师 工艺工程师 测试开发工程师,2025-11-23,
,,,招满即停,http://mp.weixin.qq.com/s?__biz=MjM5MDA0NDY4NA==&mid=2651599363&idx=1&sn=65c17c53075b667980ef4743dd20b906&chksm=bdb255608ac5dc767c8ad2b1b14d89e46d78e45a873c81a366b5eb02f075493e7d77c514188b#rd,26届秋招 | 实习生,华策影视有四类岗位，多个工作地点，截止投递到11.20日,其他,含免笔试,http://mp.weixin.qq.com/s?__biz=MjM5MDA0NDY4NA==&mid=2651599363&idx=1&sn=65c17c53075b667980ef4743dd20b906&chksm=bdb255608ac5dc767c8ad2b1b14d89e46d78e45a873c81a366b5eb02f075493e7d77c514188b#rd,,华策影视,北京 | 上海 | 杭州 | 海外,,文学责编 AI内容创意制作 国际视频内容运营 国际合作助理 品牌营销 董事长办公室助理 财务助理 人力资源助理 法务助理,2025-11-16,
,,,招满即停,https://mp.weixin.qq.com/s/ZvjcavG4zMqcXmPUmpEdqA,实习,小红书 HR 元气储备营（实习可转正）有一对一带教，系统培训，实战项目,互联网,含免笔试,https://job.xiaohongshu.com/campus/position/18473,,小红书 HR 元气储备营（实习可转正）,北京 | 上海,,HR,2026-01-12,
,,,招满即停,https://mp.weixin.qq.com/s/-PMfBt671JgmZTR6Ajy4Sg,26届秋招,以星综合航运（中国）有五险一金，补充医疗险，子女商业险，多种补贴，多种福利，文娱活动,外企,含免笔试,https://mp.weixin.qq.com/s/-PMfBt671JgmZTR6Ajy4Sg,,以星综合航运（中国）,广州 | 深圳,,销售培训生 海运客服（订舱组/客户服务组） 海运运价部专员 海运客服（单证组）（国际经济与贸易、 物流管理、商务英语、供应链管理、 交通运输、港口与航运管理相关专业优先）,2025-11-09,
,,,12.31,http://mp.weixin.qq.com/s/nozoe3nGQoU5MvwDhmQmqg,26届秋招,极佳视界免笔试，截止投递日期12.31日,科技,含免笔试,https://gigaai0118.jobs.feishu.cn/index/position/list,,极佳视界,北京 | 上海 | 杭州 | 武汉 | 广州 | 深圳,,具身智能 深度学习/视觉/多模态算法工程师 仿真算法工程师 强化学习算法工程师 导航算法工程师 模型部署工程师 运动控制算法工程师 世界模型 视觉重建算法工程师 视觉生成算法工程师 3D算法工程师 物理引擎算法工程师 软件 软件工程师 运维工程师 硬件 机械结构工程师 嵌入式软件/硬件工程师,2025-11-09,
,,,12.31,https://mp.weixin.qq.com/s/zdhjqAfB616e9fQUo1TJdw,26届秋招,世纪证券免笔试，多个工作地点，截止12.31日,金融 | 国央企,含免笔试,https://xy.liepin.com/csco/,,世纪证券,北京 | 天津 | 上海 | 南京 | 苏州 | 杭州 | 宁波 | 温州 | 合肥 | 福州 | 厦门 | 南昌 | 景德镇 | 九江 | 新余 | 赣州 | 吉安 | 宜春 | 樟树 | 抚州 | 济南 | 青岛 | 郑州 | 武汉 | 长沙 | 广州 | 珠海 | 佛山 | 东莞 | 揭阳 | 海口 | 重庆 | 成都 | 昆明 | 西安 | 银川 | 乌鲁木齐 | 全国各地,,业务储备人才,2025-10-31,
,,,招满即停,https://mp.weixin.qq.com/s/TVx5t2A0f5aoZ9q5WKi-LQ,春招,,其他,含免笔试,https://mp.weixin.qq.com/s/TVx5t2A0f5aoZ9q5WKi-LQ,,博芳环保,佛山,,营销储备干部、新媒体运营储备干部、技术部储备干部、水处理药剂技术研发储备干部、运营助理储备干部、项目运营储备干部、商务部储备干部、财务部储备干部、人事部储备干部,2026-01-05,
,,,招满即停,https://mp.weixin.qq.com/s/YTg86jcJpruY5BPsOuZ9RQ,秋招补录,,其他,含免笔试,https://jobtaikang.zhiye.com/custom/campuslist,,泰康之家,北京 | 天津 | 石家庄 | 沈阳 | 长春 | 上海 | 无锡 | 苏州 | 宁波 | 温州 | 合肥 | 福州 | 厦门 | 南昌 | 济南 | 郑州 | 武汉 | 深圳 | 南宁 | 重庆 | 成都,,AI科技产品运营 自动化测试工程师 智能硬件工程师 应用研发工程师 算法工程师 数据与数字化平台岗 人力资源 经营分析 综合经营 医保 招采 护士 餐饮管理 护理师 运动指导师 销售支持专员 文娱活动师 财务 社工 医生 康复治疗师 生活管家 市场营销 运保,2026-01-05,
,,,招满即停,https://mp.weixin.qq.com/s/2u001toQlCrnHlJibyrDJg,26届秋招,英特利普集团有一对一带教，超长假期，出国机会，节假日福利，多种团建,外企 | 咨询法律,含免笔试,https://mp.weixin.qq.com/s/2u001toQlCrnHlJibyrDJg,,英特利普集团,上海 | 北京 | 深圳 | 香港 | 杭州 | 苏州 | 常州 | 南京 | 西安 | 成都 | 武汉 | 大连,,人力资源顾问管培生(高端猎头、IT&BPO，RPO)，国内岗、海外岗,2025-12-27,
,,,招满即停,http://mp.weixin.qq.com/s?__biz=MzAwOTQ2NzAyMQ==&mid=2247508758&idx=1&sn=7356a28476a53754d5a98294897c1857&chksm=9b5dc6f4ac2a4fe2cdfff2780756589137f45ab911a40ba40bc07a9d62d76863dda4360b8985#rd,26届秋招,科瑞恩职位遍布全国，免笔试，人才培养,制造业,含免笔试,http://mp.weixin.qq.com/s?__biz=MzAwOTQ2NzAyMQ==&mid=2247508758&idx=1&sn=7356a28476a53754d5a98294897c1857&chksm=9b5dc6f4ac2a4fe2cdfff2780756589137f45ab911a40ba40bc07a9d62d76863dda4360b8985#rd,,科瑞恩,大连 | 无锡 | 苏州 | 昆山 | 南通 | 宁波 | 潍坊 | 深圳 | 成都 | 海外,,机械工程师 电气工程师 项目管理工程师 软件开发工程师 硕士管培生 越南籍在华留学生 职能类岗位 生产类岗位,2025-11-23,
,,,招满即停,https://mp.weixin.qq.com/s/dEZEhlsKbvOav_JQA8Breg?wxwork_userid=YangZhiHong&from=singlemessage&scene=1&subscene=10000&sessionid=1762402120&clicktime=1762404350&enterid=1762404350&ascene=1&fasttmpl_type=0&fasttmpl_fullversion=7983990-zh_CN-zip&fasttmpl_flag=0&realreporttime=1762404350525#wechat_redirect,26届秋招,,互联网,含免笔试,https://jobs.kunlun.com/459522 |  ,,昆仑万维,北京 | 深圳 | 广州 | 长沙 | 海外,,"强化学习、大模型框架、 AI infra 、多模态、语音算法、视频算法、推荐算法、流媒体算法、 NLP 、 CV 、 TTS .. 
 | 技术 GO 开发、客户端、 H 5 
 | 运营区域运营、产品运营
 | 产品产品经理 
 | 市场优化、剪辑 
 | 内容编剧、编辑 ",2025-11-04,
,,,招满即停,https://mp.weixin.qq.com/s/M8CRjZ6eC4xQXHYArJEm2w?scene=1,春招,圣和药业在全国都有招聘,生物医药,含免笔试,https://sanhome.zhiye.com/campus,,圣和药业,南京,,客户经理实习生，销服管培生，靶点发现与确证研究员，抗体发现研究员，药化合成研究员，体内筛选研究员，靶点发现与确证高级研究员，抗体发现高级研究员，药化设计高级研究员，体外筛选研究员，医学经理，医学高级经理，人力资源实习生，财经实习牛.宙计实习生,2026-01-10,
