公司,父记录,招聘岗位,学历要求,是否笔试,专业要求,备注,工作地点,招聘届次,更新时间,企业类型,公告来源,开始时间,行业类别,截止时间,批次（暑期实习）,父记录 2,公告链接,是否笔试 (1),简历投递链接
哈啰,,"建图定位算法,智驾模型开发,AI Infra工程师,算法工程师,算法&大模型工程师,智驾规控算法工程师,智驾系统工程师,基带工程师,移动端开发工程师,后端开发工程师,测试端开发工程师,前端开发工程师,海外产品运营,海外经营分析,硬件售后支持,SAAS产品运营,商业分析,用户运营,产品经理,运营管培生（南宁,昆明,成都,济南,青岛,武汉,合肥,西安,福州,上海,苏州,株洲）","本科, 硕士, 博士",/,/,/,上海 | 南宁 | 合肥 | 成都 | 昆明 | 株洲 | 武汉 | 济南 | 福州 | 苏州 | 西安 | 青岛,2026届,2026-01-15,民企,,,IT/互联网/游戏,2026-02-02,秋招补招,,https://www.offerleida.com/detail?id=34973,,https://careers.hellobike.com/?sessionid=#/recruit/%E6%A0%A1%E5%9B%AD%E6%8B%9B%E8%81%98
中国福州外轮代理有限公司,,C#开发工程师;java开发工程师;网络运维与安全管理,"本科, 硕士, 博士",/,计算机及相关专业,/,福州,2026届,2026-01-15,央国企,,,交通/物流/仓储,尽快投递,春招专场,,https://www.offerleida.com/detail?id=34906,,投递邮箱： | hr@penavicofz.com.cn
中国电子春天研究院,,副研究员/助理研究员/博士后 集成电路实验室 先进计算实验室 智能通信实验室；,"硕士, 博士",/,计算机、软件、通信、电子工程、自动化、数学、物理、统计学、人工智能、大数据等相关专业,/,深圳,2025 | 2026届,2026-01-13,央国企,,,教育/培训/科研,尽快投递,春招专场,,https://www.offerleida.com/detail?id=34887,,https://mp.weixin.qq.com/s/r-UezPu-bVCDA_PZEzvWhg
捷迅光电,,海外销售经理、国内销售经理、售后服务工程师、软件工程师、电气工程师、机械工程师、应用工程师、生产管培生、采购专员、行政专员、合规法务专员、信息化专员,,,,,安徽,2026届,2026-01-17,民企,,,互联网-软件技术,招满为止,春招专场,,https://mp.weixin.qq.com/s/eOZcapJYk4mV-P_T9Mhowg?scene=1&click_id=8,,https://mp.weixin.qq.com/s/eOZcapJYk4mV-P_T9Mhowg?scene=1&click_id=8
烈冰生物,,技术型销售工程师; 售前技术支持; 生信绘图师（上海）; 生信研发（上海）; 实验技术员（上海）; 项目分析（上海）; 商务专员（上海）,"本科, 硕士, 博士",/,/,/,上海 | 上饶 | 北京 | 南京 | 厦门 | 广州 | 成都 | 武汉 | 沈阳 | 济南 | 深圳 | 苏州 | 重庆 | 长沙,2026届,2026-01-15,民企,,,医疗/医药/生物,尽快投递,春招专场,,https://www.offerleida.com/detail?id=34970,,https://mp.weixin.qq.com/s/LkCy9-oBmNWRWyUgeugIRg
华为,,小语种类岗位：俄罗斯语 葡萄牙语 法语,"本科, 硕士, 博士",/,/,/,海外,2026届,2026-01-14,民企,,,通信/电子/半导体,尽快投递,春招专场,,https://www.offerleida.com/detail?id=34959,,https://career.huawei.com/reccampportal/portal5/campus-recruitment-detail.html?jobId=24041&dataSource=1&jobType=0&recruitType=CR&sourceType=001
路威酩轩,,零售精英管培生(RET),"本科, 硕士, 博士",/,/,/,上海 | 北京 | 成都 | 深圳,2026届,2026-01-14,外企,,,耐用消费品,尽快投递,寒假实习,,https://www.offerleida.com/detail?id=34958,,https://mp.weixin.qq.com/s/BM5Il4EaTrAW5SzWey_kng
米哈游,,HR实习生（招聘方向）,"本科, 硕士, 博士",/,/,/,上海,2026 | 2027届,2026-01-14,民企,,,IT/互联网/游戏,2026-01-20,实习 | 寒假实习,,https://www.offerleida.com/detail?id=34957,,https://jobs.mihoyo.com/#/campus/position/7731
震旦博物馆,,学术展览部-公教活动及媒体,"本科, 硕士, 博士",/,/,/,上海,2026 | 2027 | 2028届,2026-01-14,社会组织,,,政府/机构/组织,尽快投递,寒假实习,,https://www.offerleida.com/detail?id=34952,,https://mp.weixin.qq.com/s/x5kC1OEgMCMoH6rHWZ1dhg
北京云嘉（武汉）律师事务所,,律师,"本科, 硕士, 博士",/,法律史,/,武汉,2026届,2026-01-11,民企,,,法律,2026-09-30,春招专场,,https://www.offerleida.com/detail?id=34734,,投递邮箱: | 2817063496@qq.com
株洲星雅实验学校,,数学教师(接受、完成学校安排的教育、教学工作等);语文教师(接受、完成学校安排的教育、教学工作等);英语教师(接受、完成学校安排的教育、教学工作等);政治教师(接受、完成学校安排的教育、教学工作等);历史教师(接受、完成学校安排的教育、教学工作等);地理教师(接受、完成学校安排的教育、教学工作等);物理教师(接受、完成学校安排的教育、教学工作等);生物教师(接受、完成学校安排的教育、教学工作等);高中心理老师(接受、完成学校安排的教育、教学工作等),"本科, 硕士, 博士",/,"数学与应用数学,学科教学(数学),数学与应用数学(师范)等",/,株洲,2026届,2026-01-11,民企,,,教育/培训/科研,尽快投递,春招专场,,https://www.offerleida.com/detail?id=34732,,https://v.wjx.cn/vm/rulqwA9.aspx
莉莉丝游戏,,"技术,产品,艺术,发行,质量,战略,项目管理,职能",,,,,上海,2027届,2026-01-18,民企,,,游戏,招满为止,实习,,https://mp.weixin.qq.com/s/3MtlYy5VUHu_HUwRhZP8_Q,,https://lilithgames.jobs.feishu.cn/intern/?keywords=&category=&location=&project=&type=&job_hot_flag=&current=1&limit=10&functionCategory=&tag=
深势科技,,科学文献的多模态大模型；AI for Science基础模型；智能实验室与实验操作系统；智能体赋能科学发现；AI4S Infra,"本科, 硕士, 博士",/,/,/,上海 | 北京 | 深圳,2026 | 2027 | 2028届,2026-01-15,民企,,,IT/互联网/游戏,尽快投递,寒假实习,,https://www.offerleida.com/detail?id=34904,,https://dptechnology.jobs.feishu.cn/referral/position/detail/?token=MjsxNzY3NzA4NzYzMTk0OzczNjc2NTg3NTU2MzY2NzQ1ODg7NzU5MjIyNjc2NjA3MDA5MDAwMzsx
中船重工安谱（湖北）仪器有限公司,,生物检测工程师；光学工程师；总体工程师；硬件工程师；射频工程师；软件工程师；机械工程师；经营销售岗,"硕士, 博士",/,/,/,宜昌,2026届,2026-01-14,央国企,,,机械/制造业,尽快投递,春招专场,,https://www.offerleida.com/detail?id=34941,,https://www.gaoborc.com/job/7722.html
云岫资本,,"FA-投资银行部-投资分析师（实习留用）,FA-投资银行部-投资经理及以上级别（AI、科技硬）,FA-投资银行部-投资副总裁及以上级别（前沿科技、泛半导体、消费出海）,基金-股权投资经理/总监,法务部-法务专员/经理,FA-投资银行部-分析师实习（日常实习）,FA-投资银行本部市场部-分析师实习（日常实习）,基金-投资部-分析师实习（日常实习）","硕士, 博士",有笔试,/,/,上海,2026届,2026-01-12,民企,,,金融业,尽快投递,寒假实习 | 社招,,https://www.offerleida.com/detail?id=34868,,https://mp.weixin.qq.com/s/BMrSVA7D2oHyO7JcVYgmKQ
Shopee,,"LLM大模型算法工程师-北京,LLM大模型算法工程师-上海,多模态大模型算法工程师-上海","本科, 硕士, 博士",/,/,/,上海 | 北京,2026届,2026-01-11,外企,,,IT/互联网/游戏,2026-02-13,春招专场,,https://www.offerleida.com/detail?id=34863,,https://app.mokahr.com/campus-recruitment/shopee/2962?sessionid=#/jobs
熙诚致远,,风控岗；财务岗,"本科, 硕士, 博士",/,会计、法律、金融相关专业背景优先,/,北京,2026 | 2027 | 2028届,2026-01-11,民企,,,金融业,2026-09-30,实习 | 寒假实习,,https://www.offerleida.com/detail?id=34752,,投递邮箱： | zhaopin@vinvestment.cn
义乌农商银行,,管理培训生;科技培训生;通岗培训生;通用岗;客户经理;专业人才;小微客户经理,"本科, 硕士, 博士",有笔试,/,应聘者对填报信息及应聘材料的真实性和有效性负责，如与事实不符，本行有权取消其应聘资格。,金华 | 全国多地,2026届,2026-01-10,其他,,,金融业,2026-02-24,春招专场,,https://www.offerleida.com/detail?id=34847,,https://mp.weixin.qq.com/s/8pOsMkKxkAPpSBfLBEDDDA
陆生生私募基金,,量化研究员量化交易工程师 量化风控交易员 量化私募渠道经理私募基金投,,,,,青岛,2026届,2026-01-19,民企,,,金融/证券,招满为止,春招专场,,https://mp.weixin.qq.com/s/d31FujlRmTwcfw2wkXduwQ?click_id=11,,https://mp.weixin.qq.com/s/d31FujlRmTwcfw2wkXduwQ?click_id=11
中共中央直属机关事务管理局所属事业单位,,此次招聘涉及3个岗位、计划招聘4人，具体岗位及资格条件详见《中共中央直属机关事务管理局所属事业单位2026年度公开招聘岗位信息表》,"本科, 硕士, 博士",有笔试,/,报名材料需真实，保持通信畅通,北京,2026届,2026-01-15,事业单位,,,政府/机构/组织,2026-01-25,春招专场,,https://www.offerleida.com/detail?id=34976,,https://www.sydwgkzp.cn/bgt/index.html#/home
东阳农商银行,,寒假实习生,"本科, 硕士, 博士",/,/,/,金华,2026 | 2027 | 2028届,2026-01-14,民企,,,金融业,尽快投递,寒假实习,,https://www.offerleida.com/detail?id=34933,,https://mp.weixin.qq.com/s/DyhIh0T35mJumHIrIv7uzw
广西扶绥农村商业银行股份有限公司,,寒假实习生,"大专, 本科, 硕士, 博士",/,法律、信息科技、电子、机械、土建、水利、农业经济、动物与水产养殖、审计、统计、税务、人力资源管理、中文、经济、金融、管理等相关专业,报名者须对报名资料的真实性负责；请务必提供准确的联系方式，报名期间请保持通讯畅通；扶绥农商行有权根据招募需求及报名情况，调整招募计划，并在法律允许的范围内对本次招募工作享有最终解释权,崇左,2026 | 2027 | 2028届,2026-01-14,民企,,,金融业,2026-01-25,寒假实习,,https://www.offerleida.com/detail?id=34937,,投递邮箱： | fsnshrlzyb@163.com
百度,,2026MTS管培生,"本科, 硕士, 博士",有笔试,/,/,北京,2026届,2026-01-11,民企,,,IT/互联网/游戏,2026-02-27,春招专场,,https://www.offerleida.com/detail?id=34860,,https://talent.baidu.com/jobs/detail/GRADUATE/ca3d920d-4e37-45d5-bcdf-3a82c757ab77?sessionid=
凡岛,,设计管培生（平面方向）;设计管培生（包装方向）,"本科, 硕士, 博士",/,视觉传达设计类、产品工业设计等专业同学优先；有商业化项目优先,/,广州,2026届,2026-01-11,民企,,,贸易/批发/零售,尽快投递,秋招补招,,https://www.offerleida.com/detail?id=34858,,https://job.fandow.com/schoolRecruitmentNew?sessionid
广州恒隽信息科技有限公司,,新媒体运营岗,"大专, 本科, 硕士, 博士",/,新媒体、广告、设计、影视相关专业优先,/,广州,2026届,2026-01-14,民企,,,通信/电子/半导体,尽快投递,寒假实习,,https://www.offerleida.com/detail?id=34947,,投递邮箱： | 30347788@qq.com
云浮农商银行,,寒假实习生,"本科, 硕士, 博士",/,/,本次实习活动由云浮农商银行自主开展，依托易展翅平台实现投递简历以及发放实习证明，本行未委托任何第三方公司，不收取任何费用，请注意甄别，谨防受骗。报名人员须遵守亲属回避制度，如实告知与本行正式员工的亲属关系。本次寒假实习旨在为大学生提供社会实践机会，实习不等于录用，与本行不构成劳动关系，不属于本行正式员工。本行对所有报名人员的信息予以保密，所有报名材料仅用于实习申请，报名人员所提供的报名材料恕不退还。报名人员应对本人所提交资料信息的真实性负责，如与事实不符，本行有权取消其实习资格。本行将通过易展翅平台站内信息进行初步沟通，请及时查看站内信息。通过后以电话、邮件等方式通知入围人员，请确保联系方式真实畅通。,云浮,2026 | 2027 | 2028届,2026-01-14,民企,,,金融业,2026-01-19,寒假实习,,https://www.offerleida.com/detail?id=34922,,https://mp.weixin.qq.com/s/MFWOu0HCSGDzCA7AFUBD-g
涂鸦智能,,嵌入式开发、硬件开发、C++开发、AI应用开发、前端开发、iOS/Android开发、客户端跨端开发、音频算法、Al大模型算法、软件测试、嵌入式测试、AI开发者平台产品、Al硬件产品、技术支持、服务运营、产品运营、项目经理,,,,,杭州 | 深圳,2026届,2026-01-19,民企,,,科技,2026-03-01,春招专场,,https://mp.weixin.qq.com/s/lR-kxtFTeRmVVgeutROZ_Q,,https://app.mokahr.com/campus-recruitment/tuya/147434?locale=zh-CN#/jobs
中航集团（国航股份）,,软件开发岗位、产品管理岗位、运行维护岗位、数据分析岗位、信息安全岗位,,/,,,北京、成都、杭州、重庆、上海、广州、天津、武汉、呼和浩特、乌鲁木齐,2026届 | 2025,2026-01-18,央国企,,,高端装备与国防科技/航空航天/船舶/轨道交通装备/军工卫星,招满为止,春招专场,,https://et.airchina.com.cn/cn/about_us/recruitment/ground_crew_info/184923.shtml,,https://et.airchina.com.cn/cn/about_us/recruitment/ground_crew_info/184923.shtml
商道纵横,,ESG/CSR助理咨询顾问、碳中和领域助理咨询顾问,,/,,,北京、上海、广州、成都,2026届,2026-01-17,民企,,,专业服务,招满为止,春招专场,,https://mp.weixin.qq.com/s/Hc8p4xhBezs50A1FB1ZH_w?scene=1,,https://mp.weixin.qq.com/s/Hc8p4xhBezs50A1FB1ZH_w?scene=1
钟港-资本市场与咨询部门,,资本市场与咨询部门实习生,"本科, 硕士, 博士",/,金融/会计/数学/统计等专业,/,香港,2026 | 2027 | 2028届,2026-01-15,民企,,,金融业,2026-03-15,暑期实习,,https://www.offerleida.com/detail?id=34898,,投递邮箱： | hr@ahfghk.com
丝元投资有限责任公司,,"投资岗(3名),党务工作岗(1名),法律事务岗(1名),人力资源岗(1名),风险评审岗(1名),税务管理岗(1名)","硕士, 博士",/,/,应聘人员开始报名前，应详细了解本次招聘政策和资格条件，认真阅读应聘人员《诚信承诺书》。应聘人员必须填写《诚信承诺书》所承诺内容，对所提交的报名信息应真实性负责。凡发现所填信息与实际情况不符的，取消其应聘资格。本公告内容由丝元公司负责解释。我公司保留对可能的招聘工作岗位的变化等因素（调整、取消及终止个别岗位的招聘等）的权利。通过应聘人员报名材料中我公司（或委托第三方机构）将招聘过程中，我公司（或委托第三方机构、电子邮箱等）与本人联系，请保持通讯畅通。,北京,2026届,2026-01-15,央国企,,,金融业,2026-01-31,春招专场,,https://www.offerleida.com/detail?id=34894,,https://sytz2026.zhaopin.com/
洲明科技,,"营销类管培生,研发类管培生,职能类管培生","硕士, 博士",/,营销管培生：语言类、俄语、日语、泰语、韩语、意大利语、法语、葡萄牙语、阿拉伯语、理工科专业；研发类管培生：计算机类、人工智能、光学、电子通信类、数学、软件、机械等专业；职能类管培生：商科、人文社科：财务管理、会计学、税务、财政、金融等、理工科,/,惠州 | 深圳,2026届,2026-01-14,民企,,,机械/制造业,尽快投递,春招专场,,https://www.offerleida.com/detail?id=34951,,https://unilumin.zhiye.com/Campus
江苏赣榆农村商业银行,,大堂经理助理/客户经理助理,"本科, 硕士, 博士",/,/,本单位根据应聘者提交的信息进行审核，应聘者应对申请资料的真实性、完整性负责。如故意或者过失提供虚假、不完整信息或材料，本单位有权取消其实习资格，解除相关协议约定，由此导致的一切后果由应聘者自行负责。,连云港,2026 | 2027 | 2028届,2026-01-14,民企,,,金融业,2026-01-16,寒假实习,,https://www.offerleida.com/detail?id=34909,,https://v.wjx.cn/vm/Qx4eVrs.aspx
广东海四达钠星技术有限公司,,"生产管培生,质量管培生,设备管培生,工艺管培生,安全管培生,安全管培生,供应链管培生,销售管培生,行政/人力管培生","大专, 本科, 硕士, 博士",有笔试,不限;机电/机械/电子/自动化/材料/仪器;机电/机械/电子/自动化;机电/机械/电子/自动化/材料/工业;环境/安全;环境/安全;工商管理/物流/国际贸易;英语/商务英语/工商管理;工商管理/人力资源/英语,该二维码7天内(1月16日前)有效，重新进入将更新,内江,2025 | 2026届,2026-01-15,民企,,,通信/电子/半导体,尽快投递,春招专场,,https://www.offerleida.com/detail?id=34911,,投递邮箱： | zhujt@haishida.com
上海创智工场网络科技有限公司,,".NET/C++/JAVA软件工程师实习生,智能制造交付工程师 实习生,AI开发工程师 实习生,AI知识库工程师 实习生","本科, 硕士, 博士",/,"软件工程、计算机工程、自动化,机械、自动化、工业工程师,统计学、大数据、软件工程、AI技术,机械、电子、自动化",/,上海,2026 | 2027 | 2028届,2026-01-15,民企,,,IT/互联网/游戏,尽快投递,实习 | 寒假实习,,https://www.offerleida.com/detail?id=34899,,投递邮箱： | 18501781412@163.com
德州仪器,,"技术销售工程师-TSE,现场技术应用工程师-FAE(模拟方向),现场技术应用工程师轮岗项目-FAE(嵌入式方向),设备工程师,工艺工程师,产品工程师,制造部生产主管(需倒班)","本科, 硕士, 博士",/,理工科相关专业;电力电子相关专业,/,上海 | 成都 | 杭州 | 深圳 | 苏州,2024 | 2025 | 2026届,2026-01-13,外企,,,通信/电子/半导体,尽快投递,秋招补招 | 社招,,https://www.offerleida.com/detail?id=34884,,https://app.mokahr.com/campus-recruitment/ti/143986?sourceToken=20933e4b95f379da35c838a1f3a84736#/
岳阳市市直省级示范性高中,,高中教师(岗位数量27个),"本科, 硕士, 博士",有笔试,/,报考人员未按要求参加任一环节视为放弃；务必保持手机畅通关注官网；不指定辅导书不委托培训；查处违纪违规,岳阳,2024 | 2025 | 2026届,2026-01-11,事业单位,,,教育/培训/科研,2026-01-14,春招专场,,https://www.offerleida.com/detail?id=34736,,https://rsj.yueyang.gov.cn/rsks/index.htm
联邦生物,,新药研发研究员（硕士/博士）; 细胞株构建研究员（硕士）; 质量研究员（硕士）; 医美研究员（硕士）; 细胞发酵工艺开发研究员（硕士）; QC研究员（硕士）; QA研究员（硕士）; 制剂工艺开发研究员（硕士）; 药品注册研究员（硕士）; 质量研究实验员（本科）; QC实验员（本科）; 医美研究员（本科）; 现场QA（本科）; 药品注册研究员（本科）; 生产技术员（本科）; 业务数字化管理（本科）; 现场QA（本科）; 设备管理岗（本科）,"本科, 硕士, 博士",/,/,/,珠海,2026届,2026-01-10,合资,,,医疗/医药/生物,尽快投递,春招专场,,https://www.offerleida.com/detail?id=34851,,https://mp.weixin.qq.com/s/WacxYTgq1PShLyB2jf1zdQ?scene=1&click_id=7
深圳证券通信有限公司,,本次招聘人员主要从事数据中心类、职能类相关岗位工作,"本科, 硕士, 博士",/,数据中心类：电力、电气、自动化、暖通等相关专业；职能类：人力资源管理、财务管理、审计、法律等相关专业,/,东莞 | 深圳,2025 | 2026届,2026-01-15,民企,,,IT/互联网/游戏,尽快投递,春招专场 | 社招,,https://www.offerleida.com/detail?id=34974,,http://www.szse.cn/aboutus/online/index.html
思瑞浦-扩招,,芯片应用工程师 现场应用工程师 技术销售管培生器件研发工程师项目管理工程师,,,,,上海成都杭州深圳,2026届,2026-01-19,中外合资,,,电子/半导体,招满为止,秋招补录,,https://mp.weixin.qq.com/s/lgD4c2ukYR3ar2F8eT5a3w,,https://app.mokahr.com/campus-recruitment/3peakic/67894#/
易碳科技,,国际碳交易方向实习生,"本科, 硕士, 博士",/,环境经济、金融工程、能源政策、国际商务、英语等相关专业优先,/,成都 | 重庆,2026届,2026-01-14,民企,,,教育/培训/科研,尽快投递,实习 | 寒假实习,,https://www.offerleida.com/detail?id=34964,,https://mp.weixin.qq.com/s/Q38gBDMzMf7dJKGuTHSt0w
广东肇庆市现代农业投资发展有限公司,,实习生,"本科, 硕士, 博士",/,/,/,肇庆,2026 | 2027 | 2028届,2026-01-14,央国企,,,农林牧渔,2026-10-31,寒假实习,,https://www.offerleida.com/detail?id=34927,,投递邮箱： | zqntgszp01@163.com
南凌科技,,"研发工程师,客户经理,技术支持工程师(售前),网络运维工程师","本科, 硕士, 博士",有笔试,信息与通信工程、计算机、软件工程等相关专业,/,上海 | 北京 | 深圳,2026届,2026-01-12,民企,,,通信/电子/半导体,尽快投递,春招专场,,https://www.offerleida.com/detail?id=34874,,https://mp.weixin.qq.com/s/C4zfdsZVlpDLAFQr_0wtHA
一鸣,,生产管培生 物流管培生 研发管培生 连锁运营管培生 采销管培生 销售管培生；,"本科, 硕士, 博士",/,/,/,上海 | 温州,2026届,2026-01-12,民企,,,快速消费品,尽快投递,寒假实习 | 春招专场,,https://www.offerleida.com/detail?id=34865,,https://inm.zhiye.com/jobs?activityGuid=1de55a3d-b209-47cb-a005-a99f4f858fac
广东水电三局,,水利水电工程 土木工程 道路桥梁与渡河工程 给排水科学与工程 建筑电气及智能化 工程造价；,"本科, 硕士, 博士",/,土木工程、道路桥梁与渡河工程、建筑环境与能源应用工程、工程管理,/,东莞,2026届,2026-01-10,央国企,,,房地产业/建筑业,尽快投递,春招专场,,https://www.offerleida.com/detail?id=34853,,https://mp.weixin.qq.com/s/ejDqLdYDRwfSMTqxvBKJ0A?scene=1&click_id=6
RINA,,"验船师,审图工程师,商务拓展","本科, 硕士, 博士",/,船舶与海洋工程、轮机工程、船舶电气工程等相关专业,/,上海,2026届,2026-01-10,外企,,,检测/认证,尽快投递,春招专场,,https://www.offerleida.com/detail?id=34849,,https://mp.weixin.qq.com/s/beqNSJ9OK_zCxVa0UVrbCA
博道基金,,宏观研究员、权益研究员(TMT、制造、医药)、股票交易员、产品经理机构销售经理、渠道销售经理、销售支持经理、金融科技系统工程师,,,,,上海、北京、广州,2026届,2026-01-17,民企,,,金融,招满为止,春招专场,,https://mp.weixin.qq.com/s/bxlLPuhwj9t4Yw-iUlRISA?scene=1&click_id=4,,https://mp.weixin.qq.com/s/bxlLPuhwj9t4Yw-iUlRISA?scene=1&click_id=4
长安汽车-产品策划部,,"产品策划,产品规划,需求管理,生态产品,智能体验定义,OTA车型策划,硬件产品规划,体验定义,场景策划,产品策划,产品规划,体验定义,运营分析,需求管理","本科, 硕士, 博士",/,/,/,重庆,2024 | 2025 | 2026届,2026-01-16,央国企,,,汽车制造/维修/零配件,尽快投递,春招专场 | 社招,,https://www.offerleida.com/detail?id=34980,,https://changanqiche.zhiye.com/jobs?queryId=3916f75d-c3e9-4c38-862f-3a31250eb992
鸣鸣很忙集团,,开发运营管培生,"本科, 硕士, 博士",/,/,/,全国多地,2026届,2026-01-14,民企,,,快速消费品,尽快投递,秋招补招,,https://www.offerleida.com/detail?id=34963,,https://hnlshm4.zhiye.com/campus/detail?jobAdId=c536c4c2-ef0b-4024-8bf0-0205ec3ec250
伊戈尔,,营销类 研发类 技术支持类 供应链制造类 职能类；,"本科, 硕士, 博士",/,/,/,上海 | 中山 | 佛山 | 吉安 | 淮南 | 海外,2026届,2026-01-14,民企,,,能源/化工/环保,尽快投递,春招专场,,https://www.offerleida.com/detail?id=34961,,https://app.mokahr.com/campus-recruitment/ygr/44618?sessionid=#/home
绿色金融研究中心,,绿色金融研究方向-ESG研究;绿色金融研究方向-学术研究;公司金融研究方向,"本科, 硕士, 博士",/,经济金融、会计管理、统计、计算机、环境相关专业,/,全国多地,2026 | 2027 | 2028届,2026-01-14,事业单位,,,政府/机构/组织,尽快投递,寒假实习,,https://www.offerleida.com/detail?id=34954,,投递邮箱： | lijing@pbcsf.tsinghua.edu.cn
华德国际资管,,投研助理实习生;财务运营助理实习生,"本科, 硕士, 博士",/,金融、经济、会计等相关专业;会计、财务或相关专业,/,香港,2026 | 2027 | 2028届,2026-01-14,央国企,,,金融业,尽快投递,实习 | 寒假实习,,https://www.offerleida.com/detail?id=34936,,投递邮箱： | yw@wondint.com
世纪开元,,生产管理 工艺工程 订单计划 成本会计 质量管理 销售 信息技术 人力资源 仓储管理；,"本科, 硕士, 博士",/,/,/,济南,2026届,2026-01-11,民企,,,机械/制造业,尽快投递,春招提前批,,https://www.offerleida.com/detail?id=34859,,https://mp.weixin.qq.com/s/SpWqOPaLh_4VJuvQMCU4vw
